# command:
# git-check-rebase --meta rebase_5.14.0-70.22.1.el9_5.14.0-162.6.1.el9.meta --rows-hide-level show_all --columns full rhel9:rh9-5.14.0-70.22.1.el9..rh9-5.14.0-70.22.1.vz9.17.12 rhel9.1:rh9-5.14.0-162.6.1.el9..rh9-5.14.0-162.6.1.vz9.18.1 > rebase_5.14.0-70.22.1.el9_5.14.0-162.6.1.el9.log
#

<tag>  rhel9         rhel9.1       SUBJECT
match  1e3baf857ab5  608c20ce53c1  oom: do not dump all tasks info on each oom kill
match  49ea472433ea  48861f8cc877  exit: clear TIF_MEMDIE after exit_task_work
match  6b89ef3e122e  034224677b5d  memcg: add oom_guarantee
match  4bba21a0d4e8  864bad2d04bf  proc,memcg: use memcg limits for showing oom_score inside CT
ok     9fff801572e6  47cd2c48aee6  oom: resurrect berserker mode
ok     dde2934b08d1  39dc52fc8d3f  oom: make berserker more aggressive
match  e3d46741ef13  a65d7f30a23e  kernel/freezer: don't freeze stopped & about to be ptraced task
ok     beabb68124c6  05925de105e3  vzstat: Add base kstat structures and variables
match  3d3f766b81b0  2d87421b2069  mm: Export swap_cache_info struct and variable
match  e11f13a1b243  769314bdaae4  mm: Export first_online_pgdat() and next_online_pgdat()
match  a24bb94985ab  92ed260f7426  vzstat: Add vzstat module and kstat interfaces
ok     2f0dc24678d5  84538c9ce1d7  vzstat,sched: Track sched_lat_ve
match  b8b3f57247e2  3cd72a4a4deb  kernel: Export tasklist_lock
match  3f6e6b8536ad  9256a14e2069  vzstat: Update sched lat in vzmon
ok     6dbfe84302a6  c8b58a5ed36c  fs/ve: add new FS_VE_MOUNT flag to allow mount in container init userns
ok     1c547c94fbef  1636dfb0c377  fs: Mask appropriate filesystems FS_VIRTUALIZED
match  766e56379e44  836d24da9bb5  VE/FS: containerize filesystems access
match  1a9dbbb2c5d2  c9d8ad0f474f  ve/fs/locks: Make CAP_LEASE work in containers
match  ca60727533f5  fd654163bc04  ve/fanotify: Use ve-capable instead of plain capable test
match  fdcbf478b834  bc6bdc523840  ve/fs/namei: fix capabilities check in sys_renameat2 () to support Containers
match  465bed8dcf17  848f87a1a954  ve/fs: add ve_capable to check capabilities relative to the current VE
ok     90fc71ed7410  9428eb2a138b  ve/block: add ve_capable to check capabilities relative to the current VE
match  f8f6413e8c50  28d0f90ce7d1  ve/uts_ns: Implement cgroup interface to configure ve's os_release
match  79e789553365  61aa28e4eb69  ve/netlink: allow IPVS netlink messages to CT init userns
match  450dabcb418a  c6c401714a73  ve: Allow taskstats via netlink in netns
match  161f269aec84  cc1fa0893b99  ve/taskstats: allow delivery of task attributes in CT context
match  d6dcf571067a  badd742d8ae8  ve/lockdep: Taint kernel on circular locking complains
match  31250632824b  19f2a3103967  ve/itimer: add ve_name to warning for a NULL new_value
ok     1c8fbe057bcc  8f5ed58f34d8  proc/net: proc_net_*() helpers introduced
                                      (patch merged: functions rename)
ok     a87b6235243e  b6f3cd9ed971  ve/proc/net: virtualize all the network proc entries
                                      (functions rename)
match  db9560f72f30  f5334b40c984  mm/memcg: enable memory.low for cgroup v1
match  8ec274fcdf52  f283c9e399af  mm/memcg: enable memory.high for cgroup v1.
match  05489a8aa68a  39a43fb07899  mm/vmalloc: add v[mz]alloc_account helpers
match  3e157861790f  4baf3134b290  ms/memcg: enable accounting for net_device and Tx/Rx queues
match  54bce83fde88  4146ccd2a709  ms/memcg: enable accounting for IP address and routing-related objects
match  a07df0e038b1  cd13ff150bcf  ms/memcg: enable accounting for inet_bin_bucket cache
match  85244b627445  1f9cf41b7f95  ms/memcg: enable accounting for VLAN group array
match  dfc8d10cf639  972558746d7c  ms/memcg: ipv6/sit: account and don't WARN on ip_tunnel_prl structs allocation
match  7bafe013fa05  766a20bf90e9  ms/memcg: enable accounting for scm_fp_list objects
match  2fedc6ed2c62  9b4d7dfae594  ms/memcg: enable accounting for pids in nested pid namespaces
match  2cce0b23f4b9  6ba033a65e56  ms/memcg: enable accounting for pollfd and select bits arrays
match  5b0acb6571d6  f1d63dbf3dae  ms/memcg: enable accounting for file lock caches
match  b931f7788961  013442c02a69  ms/memcg: enable accounting of ipc resources
match  200603b7b3d4  bdf977e1d3df  ms/ipc: remove memcg accounting for sops objects in do_semtimedop()
match  b67d9514d18f  fa349f36a8c0  memcg: charge kmem allocations accounted to UBC in PCS6 to memcg
match  2c8250a32bea  46f98bcac44d  netfilter/x_tables: account entry offsets allocations
ok     f3c39b5cefb4  92be71c2afed  trace/osnoise: Fix compiler complain about using "main" local variable
match  165576d50a67  38bd19b4bd4a  ve/sysctl: write permission restriction
match  0afaf0dbe9b0  fec359d1af49  ve/sysctl: implement virtualized methods
match  9a83cf576419  af73745ef382  sysctl: make hotplug, printk and mmap_min_addr accessible inside a CT
match  e37b48335a0e  8b9ad4973358  ve/sysctl/ipc: mark as virtualized
