# command:
# git-check-rebase --meta rebase_4.18.0-240.1.1.el8_4.18.0-305.3.1.el8.meta --format=full rhel8.4:rh8-4.18.0-305.3.1.el8..9fdfd6a7c491 rhel8.2:rh8-4.18.0-240.1.1.el8..origin/branch-rh8-4.18.0-240.1.1.vz8.5.x-ovz-merged
#

<tag>  rhel8.4       rhel8.2       SUBJECT
ok     a7cdf32f1178  e7b537ff5c6c  fs: Mask appropriate filesystems FS_VIRTUALIZED
match  6b11a2efd768  60ecc067fb82  VE/FS: containerize filesystems access
match  f0ace170ef52  b69ccb764a8e  ve/fs/locks: Make CAP_LEASE work in containers
match  42a840db5840  675ad88acf9d  ve/fanotify: Use ve-capable instead of plain capable test
match  63d2e29a1307  fb4d5152654c  ve/fs/namei: fix capabilities check in sys_renameat2 () to support Containers
ok     e2e1942facce  6b127c572be1  ve/fs: add ve_capable to check capabilities relative to the current VE
match  57c3bb9592ec  b98680574fa8  ve/block: add ve_capable to check capabilities relative to the current VE
match  05c8449ea422  f1c34474e0a7  ve/uts_ns: Implement cgroup interface to configure ve's os_release
ok     33a4d66e449c  353db390d2a6  ve/netlink: allow IPVS netlink messages to CT init userns
match  23cececc6380  d48d6be1dea2  ve: Port diff-ve-allow-taskstats-netlink-in-netns
match  d011e7c692ea  4b6d59b68f9b  ve/taskstats: allow delivery of task attributes in CT context
ok     e7b957722d96  af8e8a03c431  ve/lockdep: Port diff-lockdep-taint-kernel-on-circular-locking-complains
match  dfb5844de503  180dc3d2103e  ve/itimer: add ve_name to warning for a NULL new_value
match  5829a348b101  4bc9500405e3  ve/net: Track netfilter modules per net-namespace
match  5c0b7f9ff185  55e789815de0  proc/net: proc_net_*() helpers introduced
match  fb6911dc6fc5  fde8f0735c40  ve/proc/net: virtualize all the network proc entries
match  b2d5093eba7c  d219f4abd8e0  rh/lib/cpumask: Make CPUMASK_OFFSTACK usable without debug dependency
match  98188f056a79  60f5786a7b45  ve/sysctl: write permission restriction
match  ebd37c29ed80  b936ad39c308  ve/sysctl: implement virtualized methods
match  5275f5712225  f9bc6801ad50  sysctl: make "tcp_syncookies" sysctl available inside a CT
match  89fa3590b590  5fc2a11723dc  sysctl: make hotplug, printk and mmap_min_addr accessible inside a CT
match  246ed1b9ba49  c64be365cff8  ve/sysctl/ipc: mark as virtualized
match  bb1579944d95  6d1f1e2dd30a  ve/sysctl/pidns: allow to change sysctl "ns_last_pid" from containers
match  5c1b09acf9f9  3290766b3889  ve/sysctl: allow to write kernel/hostname and kernel/domainname entries in container
match  9d7b854d7836  7dd6aa8d9b3e  ve/sysctl/nf_conntrack: allow expose of priviledged sysctl inside containers
match  6971f993a304  9c189e29cd17  ve/sysctl/net: allow "net.unix.max_dgram_qlen" sysctl in CT init userns
match  db38f3a2776a  977e988bbcca  ve/sysctl/net: allow net.ipv4.vs.* in CT init userns
ok     c149a6d22053  67a37a06d4a0  sysctl: Change sysctl::show_unhandled_signals default
ok     b717c9a9d298  78e1a382391e  ve/proc: restricted proc-entries scope
match  9cd9ac3458ae  fd95ee6c32cc  ve/proc: Show vcpu in do_task_stat()
match  72a1005ce8df  414bffa2e361  ve/time: Use ve_relative_clock in times() syscall and /proc/[pid]/stat
ok     e31c9c091c38  f0e3db500b0f  ve/time: Customize VE uptime
match  3b8ae7eb9cbc  acc5fa126aca  mm/memcg: enable memory.low for cgroup v1
match  977558bb278c  ae86c49f21b8  mm/memcg: enable memory.high for cgroup v1.
match  1277a1af2a0d  b4e034423534  mm/vmalloc: add v[mz]alloc_account helpers
